Nodes,Execution_Time
3,0.000839
4,0.000101
5,0.000153
6,0.000023
7,0.000021
8,0.000055
9,0.000175
10,0.000636
11,0.002508
12,0.009983
13,0.041597
14,0.158035
15,0.511757
16,2.413433
17,10.744337
18,53.587209
19,230.235355
