Nodes,Execution_Time
4,0.000001
5,0.000001
6,0.000003
7,0.000006
8,0.000020
9,0.000067
10,0.000259
11,0.001041
12,0.005840
13,0.023827
14,0.082617
15,0.359908
16,1.673769
17,8.032492
18,45.896119
19,198.433078
