Nodes,Execution_Time
4,0.000008
5,0.000014
6,0.000031
7,0.000080
8,0.000203
9,0.000424
10,0.000959
11,0.002202
12,0.004654
13,0.008088
14,0.021587
15,0.073654
16,0.181658
17,0.583788
18,1.531165
19,3.549083
20,7.900504
